latitude,longitude,category
19.4815137,-99.1852621,mall
19.3789885,-99.0595295,restaurant
19.4284605,-99.1974395,restaurant
19.3105254,-99.1249066,mall
19.2952162,-99.1549256,mall
19.4654289,-99.1254091,mall
19.2963128,-99.1594355,mall
19.2980992,-99.1309881,mall
19.3052802,-99.1271216,mall
19.3052693,-99.060863,restaurant
19.2911948,-99.1295575,mall
19.2859014,-99.1324946,mall
19.2857324,-99.1333328,mall
19.2840992,-99.1766653,mall
19.3608915,-99.190665,mall
19.3418016,-99.19144,mall
19.2954113,-99.1546259,mall
19.4159735,-99.1696719,restaurant
19.416362,-99.1706075,restaurant
19.2935978,-99.1252128,restaurant
19.3962186,-99.1763346,cafe
19.3958298,-99.1762066,restaurant
19.395757,-99.1719772,restaurant
19.3953223,-99.1722289,restaurant
19.3942701,-99.1784481,restaurant
19.4343614,-99.0887508,restaurant
19.392707,-99.1718061,restaurant
19.3902748,-99.1721887,restaurant
19.397131,-99.1641036,restaurant
19.4026928,-99.1545679,cafe
19.3908224,-99.1731207,restaurant
19.3869085,-99.1742951,restaurant
19.3930539,-99.174937,restaurant
19.3926097,-99.1731144,cafe
19.3893518,-99.1757718,pub
19.3866468,-99.1750622,restaurant
19.394006,-99.1754848,restaurant
19.3929697,-99.1757938,restaurant
19.3888172,-99.1780817,restaurant
19.3887015,-99.1777088,restaurant
19.3862741,-99.1770297,cafe
19.3843056,-99.175222,restaurant
19.4349648,-99.0884382,restaurant
19.4351024,-99.0834686,cafe
19.4103553,-99.1762765,pub
19.3182849,-99.1240266,mall
19.3171202,-99.1264467,restaurant
19.3245597,-99.1837316,cafe
19.3928977,-99.1508563,restaurant
19.3383729,-99.0650958,restaurant
19.432335,-99.1643219,cafe
19.4323068,-99.1643336,restaurant
19.4324409,-99.1641049,cafe
19.3355072,-99.1572788,mall
19.3666802,-99.0049785,mall
19.4020992,-99.0641623,restaurant
19.3844945,-99.0759519,restaurant
19.3966864,-99.0679248,restaurant
19.3969891,-99.0719209,restaurant
19.4832965,-99.1331919,mall
19.3837827,-99.1015552,mall
19.433444,-99.1837603,mall
19.4685412,-99.1600974,mall
19.4678706,-99.1447122,mall
19.4682225,-99.1447716,mall
19.3062667,-99.1249115,restaurant
19.3069053,-99.124624,restaurant
19.403193,-99.1559421,restaurant
19.3988733,-99.1523829,cafe
19.3681131,-99.1558456,restaurant
19.3706383,-99.1663137,restaurant
19.3687807,-99.1666814,restaurant
19.3706124,-99.1656797,restaurant
19.4335035,-99.1413149,mall
19.4332959,-99.1413485,mall
19.4341429,-99.1392158,pub
19.4192654,-99.161203,bar
19.3838272,-99.1484445,restaurant
19.4277203,-99.1322189,mall
19.3690072,-99.156026,cafe
19.3771289,-99.1616791,restaurant
19.3129756,-99.1352375,mall
19.3126639,-99.1361256,mall
19.3130095,-99.1349581,mall
19.3917108,-99.1612121,cafe
19.3208426,-99.0923029,restaurant
19.4009816,-99.1619695,restaurant
19.3581843,-99.1287908,restaurant
19.3732618,-99.1756868,restaurant
19.4419034,-99.1715452,cafe
19.3739483,-99.1631431,mall
19.3691489,-99.2968493,restaurant
19.3684741,-99.2927619,restaurant
19.3686306,-99.2926973,restaurant
19.3683504,-99.2924979,restaurant
19.3820292,-99.1871445,restaurant
19.3817509,-99.187232,restaurant
19.3826802,-99.2683827,mall
19.3903381,-99.2599267,bar
19.3209279,-99.094412,mall
19.4029286,-99.1542956,mall
19.3522161,-99.1519585,restaurant
19.3516033,-99.1519274,mall
19.32393,-99.2275869,restaurant
19.3255899,-99.232199,restaurant
19.3732262,-99.1832438,restaurant
19.3727121,-99.1833927,restaurant
19.3304013,-99.2125267,restaurant
19.3302261,-99.2124972,restaurant
19.3287995,-99.2133652,restaurant
19.3286305,-99.2123933,cafe
19.3286901,-99.2123148,restaurant
19.3309456,-99.2120999,restaurant
19.3308861,-99.2124197,restaurant
19.3301359,-99.2151684,restaurant
19.4447675,-99.1808505,restaurant
19.3244507,-99.2149476,restaurant
19.2845436,-99.1814684,restaurant
19.2847183,-99.1813195,restaurant
19.3840626,-99.0824335,mall
19.3530355,-99.1769241,restaurant
19.3434857,-99.2007224,restaurant
19.3990929,-99.1786701,restaurant
19.5107762,-99.1373964,restaurant
19.2798864,-99.234785,restaurant
19.3793423,-99.1023711,mall
19.4169858,-99.0856108,bar
19.4182099,-99.0847531,bar
19.3207973,-99.0852981,restaurant
19.3202852,-99.0827085,restaurant
19.3555477,-99.1029287,restaurant
19.3831861,-99.0568305,restaurant
19.4216973,-99.0870975,bar
19.3864197,-99.1674837,cafe
19.323214,-99.0758454,cafe
19.4183172,-99.0849395,restaurant
19.3589954,-99.0855153,restaurant
19.2660701,-99.0070803,restaurant
19.4301048,-99.2066478,mall
19.3346459,-99.1308122,restaurant
19.4212538,-99.0951352,restaurant
19.4211544,-99.0972752,cafe
19.4212656,-99.0962823,restaurant
19.4181707,-99.0975867,restaurant
19.4192729,-99.0970548,bar
19.3574073,-99.1086126,mall
19.4605372,-99.1750691,bar
19.3726669,-99.2780731,restaurant
19.4072168,-99.1014706,cafe
19.4179103,-99.1028161,restaurant
19.3601932,-99.1225628,restaurant
19.3566317,-99.1174415,cafe
19.3666929,-99.2596256,restaurant
19.3664936,-99.25981,restaurant
19.366179,-99.2601928,restaurant
19.3659546,-99.2603732,restaurant
19.3655227,-99.2606876,restaurant
19.3609798,-99.2787342,mall
19.3644366,-99.2656532,restaurant
19.3666937,-99.2632215,mall
19.3644701,-99.2592849,mall
19.4874247,-99.152556,mall
19.4216842,-99.0867083,restaurant
19.4496879,-99.1133978,restaurant
19.3425603,-99.1812169,bar
19.3424509,-99.1812328,restaurant
19.342296,-99.1813356,restaurant
19.4892084,-99.1795558,mall
19.4215592,-99.0858118,restaurant
19.4224021,-99.0862112,bar
19.295018,-99.1819497,restaurant
19.368091,-99.25892,restaurant
19.3684109,-99.2586126,restaurant
19.368136,-99.258901,mall
19.2292853,-99.1945572,restaurant
19.3552414,-99.1020527,mall
19.3553631,-99.1018309,mall
19.4781841,-99.1884194,mall
